Part;Property ID;IsSpecialisedOf;Property type;Creators language;Names in language de-DE;Definitions in language de-DE;Descriptions in language de-DE;Examples in language de-DE;Names in language EN;"Definitions in language EN
(Ralf 1)";Descriptions in language EN;"Examples in language EN
(Ralf 2)";Symbols of the property in a given property group;Visual representation;Country of use;Subdivision of use;Country of origin;Status;Date of creation;Date of activation;Date of last change;Date of revision;Date of version;Date of deactivation;Version number;Revision number;Replaces;Replaced by;Deprecation explanation;Reference to standard or document;Reference to VDI 3805 record no;QuantityID;UnitNo;Method of measurement;Data Type;List of Possible Values;abstract_property with superset of values;Class assignment;Parameters of the dependent property;Type of enumeration;Classification system;Identifier ETIM;ETIM Mapping Quality;Definition ETIM;Identifier IFC 2_3;IFC 2_3 Mapping Quality;Definition IFC 2_3;Identifier IFC 4x;IFC 4x Mapping Quality;Definition IFC 4x;Identifier CIBSE;CISBE Mapping Quality;Definition CIBSE;Identifier prodBIM;prodBIM Mapping Quality;Definition prodBIM;Identifier ECLASS;ECLASS Mapping Quality;Definition ECLASS;Identifier UniversalType;UniversalType Mapping Quality;Definition UniversalType;P002 Class assignment;P003 Class assignment;P004 Class assignment;P005 Class assignment;P006 Class assignment;P007 Class assignment;P008 Class assignment;P009 Class assignment;P010 Class assignment;P011 Class assignment;P012 Class assignment;P013 Class assignment;P014 Class assignment;P015 Class assignment;P016 Class assignment;P017 Class assignment;P018 Class assignment;P019 Class assignment;P020 Class assignment;P021 Class assignment;P022 Class assignment;P023 Class assignment;P024 Class assignment;P025 Class assignment;P026 Class assignment;P027 Class assignment;P028 Class assignment;P029 Class assignment;P030 Class assignment;P031 Class assignment;P032 Class assignment;P033 Class assignment;P034 Class assignment;P035 Class assignment;P036 Class assignment;P037 Class assignment;P038 Class assignment;P039 Class assignment;P040 Class assignment;P041 Class assignment;P042 Class assignment;P043 Class assignment;P044 Class assignment;P045 Class assignment;P046 Class assignment;P047 Class assignment;P048 Class assignment;P049 Class assignment
;PA001.1;;;PA015;PA016.DE;PA017.DE;PA018.DE;PA019.DE;PA016.EN;;PA018.EN;;PA022;PA023;PA024;PA025;PA026;PA002;PA003;PA004;PA005;PA006;PA007;PA008;PA009;PA010;PA011;PA012;PA013;PA021.2;PA021.3;PA027.DE;PA027.DE;PA029;PA030;PA039;PA107;PA021.1;PA032;;;PA014.ETIM;PA014.ETIM;PA014.ETIM;PA014.IFC 2.3;PA014.IFC 2.3;PA014.IFC 2.3;PA014.IFC 4.4;PA014.IFC 4.4;PA014.IFC 4.4;PA014.CIBSE;PA014.CIBSE;PA014.CIBSE;PA014.prodBIM;PA014.prodBIM;PA014.prodBIM;PA014.ECLASS;PA014.ECLASS;PA014.ECLASS;PA014.UT;PA014.UT;PA014.UT;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1;PA021.1
;Internal;;;Mandatory;Mandatory;Mandatory;Optional;Optional;Mandatory ;;Optional;;Optional;Optional;Mandatory;Optional;Optional;Calculated, admini-strative;Calculated, admini-strative;Calculated, admini-strative;Calculated, admini-strative;Mandatory, admini-strative;Mandatory, admini-strative;Calculated, admini-strative;Mandatory, admini-strative;Mandatory, admini-strative;Calculated, admini-strative;Calculated, admini-strative;Optional, Mandatory if the property has been replaced by others;Optional;Optional;Mandatory;Mandatory;Optional;Mandatory, enum + datatype in case of list of values;Mandatory;optional;Mandatory;optional, Mandatory if dynamic property or dependent property;;;Optional;optional;optional;Optional;Optional;Optional;Optional;Optional;Optional;Optional;;Optional;Optional;Optional;Optional;Optional;Optional;Optional;Optional;Optional;Optional;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory;Mandatory
;ID;;"1 = Static Property [P]
2 = System/external [S]
3 = Dynamic Property [D]
4 = Dependent Property [T]
5 = Static von Außen [X]";code;Deutsch;Deutsch;Deutsch;Deutsch;English;;English;;English;English;Code;English;Code;English;Date;Date;Date;Date;Date;Date;int;int;PA001.1;PA001.1;English;RA001.1;ID;;;English;English;y/n;ref to property;GA001.1;PA001.1;"1 = single
2 = multi";"1 = EN ISO 16757
2 = VDI3805
3 = CISBIE
4 = prodBIM
5 = eClass
6 = ETIM
7 = UniversalTypes
8 = IFC
9 = CAFM
10 = HKI";EFxxx;"Ecxxx
1 = genau
2 = ungefähr
3 = dem Sinn nach";Irdi;Irdi;"Ecxxx
1 = genau
2 = ungefähr
3 = dem Sinn nach";Irdi;Irdi;"Ecxxx
1 = genau
2 = ungefähr
3 = dem Sinn nach";Irdi;Irdi;"Ecxxx
1 = genau
2 = ungefähr
3 = dem Sinn nach";Irdi;Irdi;"Ecxxx
1 = genau
2 = ungefähr
3 = dem Sinn nach";Irdi;Irdi;"Ecxxx
1 = genau
2 = ungefähr
3 = dem Sinn nach";Irdi;Irdi;"Ecxxx
1 = genau
2 = ungefähr
3 = dem Sinn nach";Irdi;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1;GA001.1
;single value;;;single value;single value??;single value;single value;list of value;single value??;;single value;;single value;list of value;list of value;list of value;single value;single value;single value;single value;single value;single value;single value;single value;single value;single value;list of  value;list of value;single value;list of value;list of value;code;list of value;single value;single value;single value;single value;list of value;list of value;;list of value;list of value;single value;list of value;list of value;single value;list of value;list of value;single value;list of value;list of value;single value;list of value;list of value;single value;list of value;list of value;single value;list of value;list of value;single value;list of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value;List of value
;Produktelementdaten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,22,36,43;P001.0002;;1;de-DE;Produktserie;Bezeichnung einer gleichartig erzeugten oder für einen bestimmten Zweck zusamnmengestellte Produktlinie.;;Goodheat No. One, Multifunktionsbrenner MB;Product series;;;;;;DE;;DE;;;;;;;;;;;;;;8-110-4, 36-110-4;without;;;string;;;C008.0001,C022.0001,C036.0001,C043.0001;;;;;904d10a4-dabe-4ebe-a3d7-829809363445;Product range;;;;;;;;904d10a4-dabe-4ebe-a3d7-829809363445;Product range;;;;;;;;;;;;;;;;prod008Burner;;;;;;;;;;;;;;prod022MonoblocHeatPump;;;;;;;;;;;;;;prod036InstantaniousWaterHeater;;;;;;;prod043PressureMaintainingDevice;;;;;;
8,22,36,43;P001.0003;;1;de-DE;Produktname;Bezeichnung des Brenners;;z.B. WM-GL10/4-A ZM-R, MB 500;Product name;;;;;;DE;;DE;;;;;;;;;;;;;;8-700-4, 36-700-4;without;;;string;;;C008.0001,C022.0001,C036.0001,C043.0001;;;;;08657381-7d09-469b-a51b-62d128b0f600;Product model number;;;;;;;;08657381-7d09-469b-a51b-62d128b0f600;Product model number;;;;;;;;;;;;;;;;prod008Burner;;;;;;;;;;;;;;prod022MonoblocHeatPump;;;;;;;;;;;;;;prod036InstantaniousWaterHeater;;;;;;;prod043PressureMaintainingDevice;;;;;;
22,36,43;A002.1002;;1;de-DE;Funktion;;;"0 = unbesetzt
1 = Heizen
2 = Kühlen
3 = Klimatisieren
4 = Belüftung
5 = Entfeuchtung
6 = Luftreinigung
7 = Trinkwassererspeicherung
8 = Trinkwassererwärmung
9999 = sonstiges";Function;;;;;;DE;;DE;;;;;;;;;;;;;;36-200-2;without;;;string enum;;A001.0010,0,1,2,4,5,6,8,9999;;;;;EF002155;über gesetzliche Vorgabe 3rd Part certification;Tank Construction Material;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022MonoblocHeatPump;;;;;;;;;;;;;;prod036InstantaniousWaterHeater;;;;;;;prod043PressureMaintainingDevice;;;;;;
22,36,43;A001.1000;;1;de-DE;Einsatzbereich;;;"0 = unbesetzt
1 = Werkstätten
2 = Produktionshallen
3 = Lagerhallen
4 = Ausstellungs- und Verkaufsräume
5 = Sporthallen
6 = Schulen
7 = Einkaufszentren
8 = Logistikzentren
9 = Flugzeughangars
10 = Gewerbliche Küchen (Großküchen) 
11 = Küchen (Haushalt)
9999 = sonstiges";Field of application;;;;;;DE;;DE;;;;;;;;;;;;;;36-200-2;without;;;string enum;;A001.0010,0,1,2,4,5,6,8,9999;;;;;EF002155;über gesetzliche Vorgabe 3rd Part certification;Tank Construction Material;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022MonoblocHeatPump;;;;;;;;;;;;;;prod036InstantaniousWaterHeater;;;;;;;prod043PressureMaintainingDevice;;;;;;
22;P022.0001;;1;de-DE;Typ der Wärmepumpe;;;"1 = Sole–Wasser Wärmepumpe
2 = Wasser–Wasser Wärmepumpe
3 = Luft–Wasser Wärmepumpe
4 = Direktverdampfung
999 = sonsige";Type;;;;;;DE;;DE;;;;;;;;;;;;;;weg;without;;;string enum;1, 2, 3;;prod022MonoblocHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022MonoblocHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
