PropertyID;ValueNo;Creators language;Nominal value in language de-DE;Definitions in language de-DE;Nominal value in language EN;Ralf;Ralf;Country of use;Subdivision of use;Country of origin;Status;Date of creation;Date of activation;Date of last change;Date of revision;Date of version;Date of deactivation;Version number;Revision number;Replaces;Replaced by;Deprecation explanation;Reference to standard or  document;Reference to VDI 3805;Identifier ETIM;Value CIBSE;Definition CIBSE;Identifier prodBIM;Identifier ECLASS;Identifier IFC
;VA001.2;VA015;VA016.DE;VA017.DE;VA016.EN;;;VA019;VA020;VA021;VA002;VA003;VA004;VA005;VA006;VA007;VA008;VA009;VA010;VA011;VA012;VA013;VA101.2;VA101.3;VA014.ETIM;VA014.CISBE;VA014.CISBE;VA014.PRODBIM;VA014.ECLASS;VA014.IFC
;Unique within the values of the property;Mandatory;Mandatory;optional;Mandatory ;;;optional;Optional;Optional;Calculated, admini-strative;Calculated, admini-strative;Calculated, admini-strative;Calculated, admini-strative;Mandatory, admini-strative;Mandatory, admini-strative;Calculated, admini-strative;Mandatory, admini-strative;Mandatory, admini-strative;Calculated, admini-strative;Calculated, admini-strative;Optional, Mandatory if the property has been replaced by others;Optional;Optional;optional;optional;optional;optional;optional;optional
;ID;;Deutsch;Deutsch;English;;;code;English;Code;Code;Date  ;Date;Date  ;Date  ;Date  ;Date  ;int;int;ID;ID;English;ID;ID;EVxxx;EVxxx;EVxxx;EVxxx;Irdi;English
;Typ der Wärmepumpe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P22.0001;1;DE-de;Sole–Wasser Wärmepumpe;;brine/water heatpump;;;DE;;;;;;;;;;;;;;111;;;;;;;;
P22.0001;2;DE-de;Wasser–Wasser Wärmepumpe;;water/water heatpump;;;DE;;;;;;;;;;;;;;;;;;;;;;
P22.0001;3;DE-de;Luft–Wasser Wärmepumpe;;air/water heatpump;Air-to-Water;Transfer of heat from the outside air to the water of the heating circuit;DE;;;;;;;;;;;;;;;;;;;;;;
P22.0001;4;DE-de;Direktverdampfung;oder als Subset zur Wasser-Wasser-WP ???;direct evaporation heatpump;;;DE;;;;;;;;;;;;;;;;;;;;;;
P22.0001;99;DE-de;sonstige;;other ;;;DE;;;;;;;;;;;;;;;;;;;;;;
;Wärmequelle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P22.0003;1;DE-de;Außenluft;;outdoor air;;;DE;;;;;;;;;;;;;;;;;;;;;;
P22.0003;2;DE-de;Raumluft/Abluft;;indoor air/extract air;;;DE;;;;;;;;;;;;;;;;;;;;;;
P22.0003;3;DE-de;Erdwärme;;ground heat;;;DE;;;;;;;;;;;;;;;;;;;;;;
