Code,Name,Description,Example,Interconnected data dictionaries management rule,Request form management rule,Type,List of values
GA001,Globally unique identifier,"Globally unique identifier","936DA01F-9ABD-4D9D-80C7-02AF85C822A8","Mandatory – Calculated","Not needed","String","Single value"
GA002,Status,"Status of the group during its life cycle","Active","Mandatory – Calculated","Not needed","Enumeration","Single value / {Active | Inactive}"
GA003,Date of creation,"Date of validation of group-creation request","2014-04-30T10:39:53Z","Mandatory – Calculated","Not needed","Date (ISO 8601)","YYYY-MM-DDThh:mm:ssTZD"
GA004,Date of activation,"Date after which the group can be used","2014-04-30T10:39:53Z","Mandatory if validated – Calculated","Not needed","Date (ISO 8601)","YYYY-MM-DDThh:mm:ssTZD"
GA005,Date of last change,"Date of validation of last change request","2014-04-30T10:39:53Z","Mandatory – Calculated","Not needed","Date (ISO 8601)","YYYY-MM-DDThh:mm:ssTZD"
GA006,Date of revision,"Date of the revision","2014-04-30T10:39:53Z","Mandatory","Not needed","Date (ISO 8601)","YYYY-MM-DDThh:mm:ssTZD"
GA007,Date of version,"Date of the version","2014-04-30T10:39:53Z","Mandatory","Not needed","Date (ISO 8601)","YYYY-MM-DDThh:mm:ssTZD"
GA008,Date of deactivation,"Date group becomes obsolete","2014-04-30T10:39:53Z","Mandatory if deactivated – Calculated","Not needed","Date (ISO 8601)","YYYY-MM-DDThh:mm:ssTZD"
GA009,Version number,"Major-change tracking","2","Mandatory","Mandatory","Integer","Single value"
GA010,Revision number,"Minor-change tracking","3","Mandatory","Mandatory","Integer","Single value"
GA011,List of replaced groups,"GUID(s) of groups replaced","—","Mandatory if replacing – Calculated","Optional","List of GUIDs","Multiple values"
GA012,List of replacing groups,"GUID(s) of groups replacing this one","—","Mandatory if replaced – Calculated","Mandatory if replaced","List of GUIDs","Multiple values"
GA013,Deprecation explanation,"Reason for deprecation (EN)","—","Mandatory if replaced","Mandatory if replaced","String","Single value"
GA014,Relation of group IDs in interconnected data dictionaries,"Pairs (internalID,dataDictionaryID)","(internalGUID1,bsdd.buildingsmart.org)","Optional / Mandatory if interconnected","Optional / Mandatory if interconnected","List of pairs","Multiple values"
GA015,Creator’s language,"Language of creator","en-EN","Mandatory","Mandatory","String","Single value"
GA016,Names in language N,"List of (name,language) pairs","(GroupName|en-EN); (Nomgroupe|fr-FR)","Mandatory (≥EN+creator)","Mandatory (≥EN+creator)","List of pairs","Multiple values"
GA017,Definitions in language N,"List of (definition,language) pairs","—","Mandatory (≥EN+creator)","Mandatory (≥EN+creator)","List of pairs","Multiple values"
GA018,Visual representation,"Sketch/photo/video/URL","—","Optional","Optional","Mixed","Multiple values"
GA019,Country of use,"Country(ies) of applicability","FR; US","Mandatory","Mandatory","Choose","Multiple values (ISO 3166-1)"
GA020,Subdivision of use,"Geographical region within country","US-MT","Optional if country set","Optional if country set","Choose","Multiple values (ISO 3166-2 etc.)"
GA021,Country of origin,"Where requirement originated","FR","Optional","Optional","String","Single value (ISO 3166-1)"
GA022,Category of group,"Indicates which of 5 categories","Class","Mandatory","Mandatory","Choose","{Alternative use | Class | Composed property | Domain | Reference document}"
GA023,Parent group of properties,"GUID of parent group (for tree)","—","Optional","Optional","String","Single value"
