Code,Name,Description,Example,Interconnected data dictionaries management rule,Request form management rule,Type,List of values
PA001,Globally unique identifier,"Globally unique identifier","936DA01F-9ABD-4D9D-80C7-02AF85C822A8","Mandatory – Calculated","Not relevant","String","Single-value"
PA002,Status,"Status of the property during its life cycle","Active","Mandatory – Calculated","Not relevant","Enumeration","Single-value / {Active | Inactive}"
PA003,Date of creation,"Date of validation of the property-creation request by experts","2014-04-30T10:39:53Z","Mandatory – Calculated","Not relevant","Date (ISO 8601)","YYYY-MM-DDThh:mm:ssTZD"
PA004,Date of activation,"Date after which the property can be used","2014-04-30T10:39:53Z","Mandatory if validated – Calculated","Not relevant","Date (ISO 8601)","YYYY-MM-DDThh:mm:ssTZD"
PA005,Date of last change,"Date of validation of the last change request by experts","2014-04-30T10:39:53Z","Mandatory if changed – Calculated","Not relevant","Date (ISO 8601)","YYYY-MM-DDThh:mm:ssTZD"
PA006,Date of revision,"Date of the revision","2014-04-30T10:39:53Z","Mandatory – Calculated","Not relevant","Date (ISO 8601)","YYYY-MM-DDThh:mm:ssTZD"
PA007,Date of version,"Date of the version","2014-04-30T10:39:53Z","Mandatory – Calculated","Not relevant","Date (ISO 8601)","YYYY-MM-DDThh:mm:ssTZD"
PA008,Date of deactivation,"Date as of which the property becomes obsolete","2014-04-30T10:39:53Z","Mandatory if deactivated – Calculated","Not relevant","Date (ISO 8601)","YYYY-MM-DDThh:mm:ssTZD"
PA009,Version number,"Major-change tracking","2","Mandatory","Mandatory","Integer","Single value"
PA010,Revision number,"Minor-change tracking","3","Mandatory","Mandatory","Integer","Single value"
PA011,List of replaced properties,"GUID(s) of property/properties replaced","946DA01F-9ABD-4D9D-80C7-02AF85C822A8; 946DA01F-9ABD-4D9D-80C7-02AF85C822A9","Mandatory if replacing – Calculated","Mandatory if replacing","String","Multiple values"
PA012,List of replacing properties,"GUID(s) of property/properties replacing this one","935DA01F-9ABD-4D9D-80C7-02AF85C822A8","Mandatory if replaced – Calculated","Mandatory if replaced","String","Multiple values"
PA013,Deprecation explanation,"Reason why property was deprecated (EN)","—","Mandatory if replaced","Mandatory if replaced","String","Single value"
PA014,Relation of property IDs in interconnected data dictionaries,"Pairs (internalID,dataDictionaryID)","(internalGUID1,bsdd.buildingsmart.org); (internalGUID2,PPBIM)","Optional / Mandatory if interconnected","Optional / Mandatory if interconnected","List of pairs","Multiple values"
PA015,Creator’s language,"Language of creator","en-EN","Mandatory","Mandatory","String","Single value (ISO 639-1-code-dash-ISO 3166-1-code or IFC-IFC)"
PA016,Names in language N,"List of (name,language) pairs","(PropertyName|en-EN); (Nompropriété|fr-FR)","Mandatory (≥EN+creator)","Mandatory (≥EN+creator)","List of pairs","Multiple values"
PA017,Definitions in language N,"List of (definition,language) pairs","—","Mandatory (≥EN+creator)","Mandatory (≥EN+creator)","List of pairs","Multiple values"
PA018,Descriptions in language N,"Plain-language descriptions","—","Optional","Optional","List of pairs","Multiple values"
PA019,Examples in language N,"Illustrative example values","—","Optional","Optional","List of pairs","Multiple values"
PA020,Connected properties,"GUID(s) of related properties","945DA01F-9BBD-4D9D-80C7-02AF85C822A8; …","Optional","Optional","List of GUIDs","Multiple values"
