Derived quantity,Description,Dimension,SI derived unit,SI symbol
Acceleration,"Change of velocity per unit time","L T−2","metre per second squared","m s−2"
Plane angle,"Arc length / radius","1","radian","rad"
Solid angle,"Area / radius²","1","steradian","sr"
Capacitance,"Stored charge per unit potential","L−2 M−1 T4 I2","farad","F"
Electric field strength,"Electric field intensity","L M T−3 I−1","volt per metre","V m−1"
Magnetic field strength,"Magnetic field intensity","L−1 I","ampere per metre","A m−1"
Electric charge,"Force per unit E-field","T I","coulomb","C"
Electrical conductance,"Ease of current flow","L−2 M−1 T3 I2","siemens","S"
Current density,"Current per cross-section area","L−2 I","ampere per square metre","A m−2"
Energy,"Capacity to do work","L2 M T−2","joule","J"
Entropy,"Log measure of states","L2 M T−2 θ−1","joule per kelvin","J K−1"
Force,"Transfer of momentum per time","L M T−2","newton","N"
Frequency,"Occurrences per time","T−1","hertz","Hz"
Impedance,"AC resistance incl. phase","L2 M T−3 I−2","ohm","Ω"
Inductance,"Flux per unit current","L2 M T−2 I−2","henry","H"
Magnetic flux density,"Strength of magnetic field","M T−2 I−1","tesla","T"
Volume density,"Mass per volume","L−3 M","kilogram per cubic metre","kg m−3"
Permittivity,"Material polarization response","L−3 M−1 T4 I2","farad per metre","F m−1"
Electric potential,"Energy per unit charge","L2 M T−3 I−2","volt","V"
Pressure,"Force per unit area","L−1 M T−2","pascal","Pa"
Power,"Energy transfer per time","L2 M T−3","watt","W"
Electrical resistance,"Potential per unit current","L2 M T−3 I−2","ohm","Ω"
Electrical resistivity,"Bulk property of resistance","L3 M T−3 I−2","ohm metre","Ω m"
Area,"Surface extent","L2","square metre","m2"
Thermal conductivity,"Heat conduction ability","L M T3 θ−1","watt per metre per kelvin","W m−1 K−1"
Velocity,"Speed with direction","L T−1","metre per second","m s−1"
Angular speed,"Plane-angle change per time","T−1","radian per second","rad s−1"
Volume,"Three-dimensional extent","L3","cubic metre","m3"
